# Generated by scripts/generate-open-source-licenses.sh
bzip2	0.6.1	MIT OR Apache-2.0
cast	0.3.0	MIT OR Apache-2.0
cbindgen	0.29.4	MPL-2.0
cc	1.2.62	MIT OR Apache-2.0
cexpr	0.6.0	Apache-2.0/MIT
cfg-if	1.0.4	MIT OR Apache-2.0
cfg_aliases	0.2.1	MIT
chacha20	0.10.0	MIT OR Apache-2.0
chrono	0.4.44	MIT OR Apache-2.0
ciborium	0.2.2	Apache-2.0
ciborium-io	0.2.2	Apache-2.0
ciborium-ll	0.2.2	Apache-2.0
clang-sys	1.8.1	Apache-2.0
clap	4.6.1	MIT OR Apache-2.0
clap_builder	4.6.0	MIT OR Apache-2.0
clap_derive	4.6.1	MIT OR Apache-2.0
clap_lex	1.1.0	MIT OR Apache-2.0
clru	0.6.3	MIT
cocoa	0.26.1	MIT OR Apache-2.0
cocoa-foundation	0.2.1	MIT OR Apache-2.0
collections	0.1.0	Apache-2.0
collections-gpui-unofficial	1.2.7	Apache-2.0
color_quant	1.1.0	MIT
colorchoice	1.0.5	MIT OR Apache-2.0
command-fds	0.3.3	Apache-2.0
compression-codecs	0.4.38	MIT OR Apache-2.0
compression-core	0.4.32	MIT OR Apache-2.0
concurrent-queue	2.5.0	Apache-2.0 OR MIT
convert_case	0.10.0	MIT
convert_case	0.11.0	MIT
core-foundation	0.10.1	MIT OR Apache-2.0
core-foundation-sys	0.8.7	MIT OR Apache-2.0
core-graphics	0.24.0	MIT OR Apache-2.0
core-graphics	0.25.0	MIT OR Apache-2.0
core-graphics-types	0.2.0	MIT OR Apache-2.0
core-graphics2	0.6.1	MIT OR Apache-2.0
core-text	22.0.0	MIT OR Apache-2.0
core-video	0.6.1	MIT OR Apache-2.0
core_maths	0.1.1	MIT
cpufeatures	0.2.17	MIT OR Apache-2.0
cpufeatures	0.3.0	MIT OR Apache-2.0
crc32fast	1.5.0	MIT OR Apache-2.0
criterion	0.8.2	Apache-2.0 OR MIT
criterion-plot	0.8.2	Apache-2.0 OR MIT
crossbeam-channel	0.5.15	MIT OR Apache-2.0
crossbeam-deque	0.8.6	MIT OR Apache-2.0
crossbeam-epoch	0.9.18	MIT OR Apache-2.0
crossbeam-queue	0.3.12	MIT OR Apache-2.0
crossbeam-utils	0.8.21	MIT OR Apache-2.0
crunchy	0.2.4	MIT
crypto-common	0.1.7	MIT OR Apache-2.0
ctor	1.0.7	Apache-2.0 OR MIT
dashmap	6.2.1	MIT
data-url	0.3.2	MIT OR Apache-2.0
deflate64	0.1.12	MIT
derive_more	2.1.1	MIT
derive_more-impl	2.1.1	MIT
derive_refineable	0.1.0	Apache-2.0
digest	0.10.7	MIT OR Apache-2.0
dirs	6.0.0	MIT OR Apache-2.0
dirs-sys	0.5.0	MIT OR Apache-2.0
displaydoc	0.2.6	MIT OR Apache-2.0
dlib	0.5.3	MIT
downcast-rs	1.2.1	MIT/Apache-2.0
dunce	1.0.5	CC0-1.0 OR MIT-0 OR Apache-2.0
dwrote	0.11.5	MPL-2.0
dyn-clone	1.0.20	MIT OR Apache-2.0
either	1.16.0	MIT OR Apache-2.0
embed-resource	3.0.9	MIT
encoding_rs	0.8.35	(Apache-2.0 OR MIT) AND BSD-3-Clause
equator	0.4.2	MIT
equator-macro	0.4.2	MIT
equivalent	1.0.2	Apache-2.0 OR MIT
erased-serde	0.4.10	MIT OR Apache-2.0
errno	0.3.14	MIT OR Apache-2.0
etagere	0.3.0	MIT OR Apache-2.0
euclid	0.22.14	MIT OR Apache-2.0
event-listener	2.5.3	Apache-2.0 OR MIT
event-listener	5.4.1	Apache-2.0 OR MIT
event-listener-strategy	0.5.4	Apache-2.0 OR MIT
exr	1.74.0	BSD-3-Clause
faster-hex	0.10.0	MIT
fastrand	1.9.0	Apache-2.0 OR MIT
fastrand	2.4.1	Apache-2.0 OR MIT
fax	0.2.7	MIT
fdeflate	0.3.7	MIT OR Apache-2.0
filetime	0.2.29	MIT/Apache-2.0
find-msvc-tools	0.1.9	MIT OR Apache-2.0
fixedbitset	0.5.7	MIT OR Apache-2.0
flate2	1.1.9	MIT OR Apache-2.0
float-cmp	0.9.0	MIT
float-ord	0.3.2	MIT / Apache-2.0
float_next_after	1.0.0	MIT
flume	0.12.0	Apache-2.0/MIT
fnv	1.0.7	Apache-2.0 / MIT
foldhash	0.1.5	Zlib
foldhash	0.2.0	Zlib
font-kit	0.14.3-1	MIT OR Apache-2.0
fontconfig-parser	0.5.8	MIT
fontdb	0.23.0	MIT
foreign-types	0.5.0	MIT/Apache-2.0
foreign-types-macros	0.2.3	MIT/Apache-2.0
foreign-types-shared	0.3.1	MIT/Apache-2.0
form_urlencoded	1.2.2	MIT OR Apache-2.0
freetype-sys	0.23.0	MIT
futf	0.1.5	MIT / Apache-2.0
futures	0.3.32	MIT OR Apache-2.0
futures-channel	0.3.32	MIT OR Apache-2.0
futures-concurrency	7.7.1	MIT OR Apache-2.0
futures-core	0.3.32	MIT OR Apache-2.0
futures-executor	0.3.32	MIT OR Apache-2.0
futures-io	0.3.32	MIT OR Apache-2.0
futures-lite	1.13.0	Apache-2.0 OR MIT
futures-lite	2.6.1	Apache-2.0 OR MIT
futures-macro	0.3.32	MIT OR Apache-2.0
futures-sink	0.3.32	MIT OR Apache-2.0
futures-task	0.3.32	MIT OR Apache-2.0
futures-util	0.3.32	MIT OR Apache-2.0
generic-array	0.14.7	MIT
gethostname	1.1.0	Apache-2.0
getrandom	0.2.17	MIT OR Apache-2.0
getrandom	0.3.4	MIT OR Apache-2.0
getrandom	0.4.2	MIT OR Apache-2.0
gif	0.14.2	MIT OR Apache-2.0
gimli	0.32.3	MIT OR Apache-2.0
gix	0.84.0	MIT OR Apache-2.0
gix-actor	0.41.1	MIT OR Apache-2.0
gix-attributes	0.33.1	MIT OR Apache-2.0
gix-bitmap	0.3.2	MIT OR Apache-2.0
gix-blame	0.14.0	MIT OR Apache-2.0
gix-chunk	0.7.2	MIT OR Apache-2.0
gix-command	0.9.1	MIT OR Apache-2.0
gix-commitgraph	0.37.1	MIT OR Apache-2.0
gix-config	0.57.0	MIT OR Apache-2.0
gix-config-value	0.18.1	MIT OR Apache-2.0
gix-date	0.15.4	MIT OR Apache-2.0
gix-diff	0.64.0	MIT OR Apache-2.0
gix-dir	0.26.0	MIT OR Apache-2.0
gix-discover	0.52.0	MIT OR Apache-2.0
gix-error	0.2.4	MIT OR Apache-2.0
gix-features	0.48.1	MIT OR Apache-2.0
gix-filter	0.31.0	MIT OR Apache-2.0
gix-fs	0.21.2	MIT OR Apache-2.0
gix-glob	0.26.1	MIT OR Apache-2.0
gix-hash	0.25.1	MIT OR Apache-2.0
gix-hashtable	0.15.1	MIT OR Apache-2.0
gix-ignore	0.21.1	MIT OR Apache-2.0
gix-imara-diff	0.2.2	Apache-2.0
gix-index	0.52.0	MIT OR Apache-2.0
gix-lock	23.0.1	MIT OR Apache-2.0
gix-object	0.61.0	MIT OR Apache-2.0
gix-odb	0.81.0	MIT OR Apache-2.0
gix-pack	0.71.0	MIT OR Apache-2.0
gix-packetline	0.21.4	MIT OR Apache-2.0
gix-path	0.12.1	MIT OR Apache-2.0
gix-pathspec	0.18.1	MIT OR Apache-2.0
gix-protocol	0.62.0	MIT OR Apache-2.0
gix-quote	0.7.2	MIT OR Apache-2.0
gix-ref	0.64.0	MIT OR Apache-2.0
gix-refspec	0.42.0	MIT OR Apache-2.0
gix-revision	0.46.0	MIT OR Apache-2.0
gix-revwalk	0.32.0	MIT OR Apache-2.0
gix-sec	0.14.1	MIT OR Apache-2.0
gix-shallow	0.12.1	MIT OR Apache-2.0
gix-status	0.31.0	MIT OR Apache-2.0
gix-submodule	0.31.0	MIT OR Apache-2.0
gix-tempfile	23.0.1	MIT OR Apache-2.0
gix-trace	0.1.20	MIT OR Apache-2.0
gix-transport	0.57.1	MIT OR Apache-2.0
gix-traverse	0.58.0	MIT OR Apache-2.0
gix-url	0.36.1	MIT OR Apache-2.0
gix-utils	0.3.3	MIT OR Apache-2.0
gix-validate	0.11.2	MIT OR Apache-2.0
gix-worktree	0.53.0	MIT OR Apache-2.0
gix-worktree-stream	0.33.0	MIT OR Apache-2.0
glob	0.3.3	MIT OR Apache-2.0
globset	0.4.18	Unlicense OR MIT
gloo-timers	0.3.0	MIT OR Apache-2.0
gpui	0.2.2	Apache-2.0
gpui-util-gpui-unofficial	1.2.7	Apache-2.0
gpui_macros	0.1.0	Apache-2.0
gpui_shared_string	0.1.0	UNKNOWN
gpui_util	0.1.0	Apache-2.0
grid	1.0.1	MIT
half	2.7.1	MIT OR Apache-2.0
hash32	0.3.1	MIT OR Apache-2.0
hashbrown	0.14.5	MIT OR Apache-2.0
hashbrown	0.15.5	MIT OR Apache-2.0
hashbrown	0.16.1	MIT OR Apache-2.0
hashbrown	0.17.1	MIT OR Apache-2.0
heapless	0.8.0	MIT OR Apache-2.0
heapless	0.9.3	MIT OR Apache-2.0
heck	0.5.0	MIT OR Apache-2.0
hermit-abi	0.5.2	MIT OR Apache-2.0
home	0.5.12	MIT OR Apache-2.0
http	1.4.1	MIT OR Apache-2.0
http-body	1.0.1	MIT
http-client-gpui-unofficial	1.2.7	Apache-2.0
human_format	1.2.1	MIT
iana-time-zone	0.1.65	MIT OR Apache-2.0
iana-time-zone-haiku	0.1.2	MIT OR Apache-2.0
icu_collections	2.2.0	Unicode-3.0
icu_locale_core	2.2.0	Unicode-3.0
icu_normalizer	2.2.0	Unicode-3.0
icu_normalizer_data	2.2.0	Unicode-3.0
icu_properties	2.2.0	Unicode-3.0
icu_properties_data	2.2.0	Unicode-3.0
icu_provider	2.2.0	Unicode-3.0
id-arena	2.3.0	MIT/Apache-2.0
idna	1.1.0	MIT OR Apache-2.0
idna_adapter	1.2.2	Apache-2.0 OR MIT
image	0.25.10	MIT OR Apache-2.0
image-webp	0.2.4	MIT OR Apache-2.0
imagesize	0.14.0	MIT
imgref	1.12.1	CC0-1.0 OR Apache-2.0
indexmap	2.14.0	Apache-2.0 OR MIT
inotify	0.11.1	ISC
inotify-sys	0.1.5	ISC
instant	0.1.13	BSD-3-Clause
interpolate_name	0.2.4	MIT
inventory	0.3.24	MIT OR Apache-2.0
is_terminal_polyfill	1.70.2	MIT OR Apache-2.0
itertools	0.13.0	MIT OR Apache-2.0
itertools	0.14.0	MIT OR Apache-2.0
itoa	1.0.18	MIT OR Apache-2.0
jiff	0.2.27	Unlicense OR MIT
jiff-static	0.2.27	Unlicense OR MIT
jiff-tzdb	0.1.6	Unlicense OR MIT
jiff-tzdb-platform	0.1.3	Unlicense OR MIT
jobserver	0.1.34	MIT OR Apache-2.0
js-sys	0.3.99	MIT OR Apache-2.0
kqueue	1.1.1	MIT
kqueue-sys	1.1.2	MIT
kstring	2.0.2	MIT OR Apache-2.0
kurbo	0.13.1	Apache-2.0 OR MIT
kv-log-macro	1.0.7	MIT OR Apache-2.0
lazy_static	1.5.0	MIT OR Apache-2.0
leb128fmt	0.1.0	MIT OR Apache-2.0
lebe	0.5.3	BSD-3-Clause
libbz2-rs-sys	0.2.5	bzip2-1.0.6
libc	0.2.186	MIT OR Apache-2.0
libfuzzer-sys	0.4.12	(MIT OR Apache-2.0) AND NCSA
libloading	0.8.9	ISC
libm	0.2.16	MIT
libmimalloc-sys	0.1.49	MIT
libredox	0.1.16	MIT
libz-sys	1.1.28	MIT OR Apache-2.0
link-section	0.18.2	Apache-2.0 OR MIT
linktime-proc-macro	0.2.0	Apache-2.0 OR MIT
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
linux-raw-sys	0.4.15	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
litemap	0.8.2	Unicode-3.0
lock_api	0.4.14	MIT OR Apache-2.0
log	0.4.32	MIT OR Apache-2.0
loop9	0.1.5	MIT
lru	0.18.0	MIT
lyon	1.0.19	MIT OR Apache-2.0
lyon_algorithms	1.0.20	MIT OR Apache-2.0
lyon_geom	1.0.19	MIT OR Apache-2.0
lyon_path	1.0.19	MIT OR Apache-2.0
lyon_tessellation	1.0.20	MIT OR Apache-2.0
mac	0.1.1	MIT/Apache-2.0
mach2	0.5.0	BSD-2-Clause OR MIT OR Apache-2.0
mach2	0.6.0	BSD-2-Clause OR MIT OR Apache-2.0
malloc_buf	0.0.6	MIT
maybe-async	0.2.11	MIT
maybe-rayon	0.1.1	MIT
media	0.1.0	Apache-2.0
memchr	2.8.2	Unlicense OR MIT
memmap2	0.9.10	MIT OR Apache-2.0
metal	0.33.0	MIT OR Apache-2.0
mimalloc	0.1.52	MIT
minimal-lexical	0.2.1	MIT/Apache-2.0
miniz_oxide	0.8.9	MIT OR Zlib OR Apache-2.0
mio	1.2.0	MIT
moxcms	0.8.1	BSD-3-Clause OR Apache-2.0
new_debug_unreachable	1.0.6	MIT
nix	0.29.0	MIT
nix	0.31.3	MIT
no_std_io2	0.9.4	Apache-2.0 OR MIT
nom	7.1.3	MIT
nom	8.0.0	MIT
nonempty	0.12.0	MIT
noop_proc_macro	0.3.0	MIT
notify	9.0.0-rc.4	CC0-1.0
notify-types	2.1.0	MIT OR Apache-2.0
num-bigint	0.4.6	MIT OR Apache-2.0
num-derive	0.4.2	MIT OR Apache-2.0
num-integer	0.1.46	MIT OR Apache-2.0
num-rational	0.4.2	MIT OR Apache-2.0
num-traits	0.2.19	MIT OR Apache-2.0
num_cpus	1.17.0	MIT OR Apache-2.0
objc	0.2.7	MIT
objc2-core-foundation	0.3.2	Zlib OR Apache-2.0 OR MIT
objc2-core-services	0.3.2	Zlib OR Apache-2.0 OR MIT
objc2-io-surface	0.3.2	Zlib OR Apache-2.0 OR MIT
object	0.37.3	Apache-2.0 OR MIT
once_cell	1.21.4	MIT OR Apache-2.0
once_cell_polyfill	1.70.2	MIT OR Apache-2.0
oorandom	11.1.5	MIT
option-ext	0.2.0	MPL-2.0
page_size	0.6.0	MIT/Apache-2.0
parking	2.2.1	Apache-2.0 OR MIT
parking_lot	0.12.5	MIT OR Apache-2.0
parking_lot_core	0.9.12	MIT OR Apache-2.0
paste	1.0.15	MIT OR Apache-2.0
pastey	0.1.1	MIT OR Apache-2.0
pathfinder_geometry	0.5.1	MIT/Apache-2.0
pathfinder_simd	0.5.6	MIT OR Apache-2.0
percent-encoding	2.3.2	MIT OR Apache-2.0
pico-args	0.5.0	MIT
pin-project	1.1.13	Apache-2.0 OR MIT
pin-project-internal	1.1.13	Apache-2.0 OR MIT
pin-project-lite	0.2.17	Apache-2.0 OR MIT
pin-utils	0.1.0	MIT OR Apache-2.0
piper	0.2.5	MIT OR Apache-2.0
pkg-config	0.3.33	MIT OR Apache-2.0
plotters	0.3.7	MIT
plotters-backend	0.3.7	MIT
plotters-svg	0.3.7	MIT
png	0.18.1	MIT OR Apache-2.0
polling	3.11.0	Apache-2.0 OR MIT
pollster	0.2.5	Apache-2.0/MIT
pollster	0.4.0	Apache-2.0/MIT
polycool	0.4.0	MIT OR Apache-2.0
portable-atomic	1.13.1	Apache-2.0 OR MIT
portable-atomic-util	0.2.7	Apache-2.0 OR MIT
postage	0.5.0	MIT
potential_utf	0.1.5	Unicode-3.0
ppv-lite86	0.2.21	MIT OR Apache-2.0
prettyplease	0.2.37	MIT OR Apache-2.0
proc-macro2	1.0.106	MIT OR Apache-2.0
prodash	31.0.0	MIT
profiling	1.0.18	MIT OR Apache-2.0
profiling-procmacros	1.0.18	MIT OR Apache-2.0
proptest	1.10.0	MIT OR Apache-2.0
proptest-macro	0.5.0	MIT OR Apache-2.0
psm	0.1.31	MIT OR Apache-2.0
pulldown-cmark	0.13.4	MIT
pulldown-cmark-escape	0.11.0	MIT
pxfm	0.1.29	BSD-3-Clause OR Apache-2.0
qoi	0.4.1	MIT/Apache-2.0
quick-error	1.2.3	MIT/Apache-2.0
quick-error	2.0.1	MIT/Apache-2.0
quick-xml	0.39.4	MIT
quote	1.0.45	MIT OR Apache-2.0
r-efi	5.3.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later
rand	0.10.1	MIT OR Apache-2.0
rand	0.9.4	MIT OR Apache-2.0
rand_chacha	0.9.0	MIT OR Apache-2.0
rand_core	0.10.1	MIT OR Apache-2.0
rand_core	0.9.5	MIT OR Apache-2.0
rand_xorshift	0.4.0	MIT OR Apache-2.0
rav1e	0.8.1	BSD-2-Clause
ravif	0.13.0	BSD-3-Clause
raw-window-handle	0.6.2	MIT OR Apache-2.0 OR Zlib
rayon	1.12.0	MIT OR Apache-2.0
rayon-core	1.13.0	MIT OR Apache-2.0
redox_syscall	0.2.16	MIT
redox_syscall	0.5.18	MIT
redox_users	0.5.2	MIT
ref-cast	1.0.25	MIT OR Apache-2.0
ref-cast-impl	1.0.25	MIT OR Apache-2.0
refineable	0.1.0	Apache-2.0
regex	1.12.4	MIT OR Apache-2.0
regex-automata	0.4.14	MIT OR Apache-2.0
regex-syntax	0.8.11	MIT OR Apache-2.0
resvg	0.47.0	Apache-2.0 OR MIT
rgb	0.8.53	MIT
roxmltree	0.20.0	MIT OR Apache-2.0
roxmltree	0.21.1	MIT OR Apache-2.0
rust-embed	8.11.0	MIT
rust-embed-impl	8.11.0	MIT
rust-embed-utils	8.11.0	MIT
rustc-demangle	0.1.27	MIT/Apache-2.0
rustc-hash	2.1.2	Apache-2.0 OR MIT
rustc_version	0.4.1	MIT OR Apache-2.0
rustix	0.38.44	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
rustversion	1.0.22	MIT OR Apache-2.0
rusty-fork	0.3.1	MIT/Apache-2.0
rustybuzz	0.20.1	MIT
ryu	1.0.23	Apache-2.0 OR BSL-1.0
same-file	1.0.6	Unlicense/MIT
scheduler	0.1.0	Apache-2.0
schemars	1.2.1	MIT
schemars_derive	1.2.1	MIT
scopeguard	1.2.0	MIT OR Apache-2.0
seahash	4.1.0	MIT
semver	1.0.28	MIT OR Apache-2.0
serde	1.0.228	MIT OR Apache-2.0
serde_core	1.0.228	MIT OR Apache-2.0
serde_derive	1.0.228	MIT OR Apache-2.0
serde_derive_internals	0.29.1	MIT OR Apache-2.0
serde_fmt	1.1.0	Apache-2.0 OR MIT
serde_json	1.0.150	MIT OR Apache-2.0
serde_json_lenient	0.2.4	MIT/Apache-2.0
serde_spanned	1.1.1	MIT OR Apache-2.0
serde_urlencoded	0.7.1	MIT/Apache-2.0
sha1	0.10.6	MIT OR Apache-2.0
sha1-checked	0.10.0	MIT OR Apache-2.0
sha1_smol	1.0.1	BSD-3-Clause
sha2	0.10.9	MIT OR Apache-2.0
shell-words	1.1.1	MIT/Apache-2.0
shlex	1.3.0	MIT OR Apache-2.0
signal-hook-registry	1.4.8	MIT OR Apache-2.0
simd-adler32	0.3.9	MIT
simd_helpers	0.1.0	MIT
simplecss	0.2.2	Apache-2.0 OR MIT
siphasher	1.0.3	MIT/Apache-2.0
slab	0.4.12	MIT
slotmap	1.1.1	Zlib
smallvec	1.15.2	MIT OR Apache-2.0
smol	2.0.2	Apache-2.0 OR MIT
smol_str	0.3.6	MIT OR Apache-2.0
spin	0.12.0	MIT
spin	0.9.8	MIT
stable_deref_trait	1.2.1	MIT OR Apache-2.0
stacker	0.1.24	MIT OR Apache-2.0
stacksafe	1.0.2	Apache-2.0
stacksafe-macro	1.0.2	Apache-2.0
static_assertions	1.1.0	MIT OR Apache-2.0
stats_alloc	0.1.10	MIT
streaming-iterator	0.1.9	MIT OR Apache-2.0
strict-num	0.1.1	MIT
strsim	0.11.1	MIT
strum	0.28.0	MIT
strum_macros	0.28.0	MIT
sum_tree	0.1.0	Apache-2.0
sval	2.20.0	Apache-2.0 OR MIT
sval_buffer	2.20.0	Apache-2.0 OR MIT
sval_dynamic	2.20.0	Apache-2.0 OR MIT
sval_fmt	2.20.0	Apache-2.0 OR MIT
sval_json	2.20.0	Apache-2.0 OR MIT
sval_nested	2.20.0	Apache-2.0 OR MIT
sval_ref	2.20.0	Apache-2.0 OR MIT
sval_serde	2.20.0	Apache-2.0 OR MIT
svgtypes	0.16.1	Apache-2.0 OR MIT
syn	2.0.117	MIT OR Apache-2.0
synstructure	0.13.2	MIT
taffy	0.10.1	MIT
take-until	0.2.0	MIT
tempfile	3.27.0	MIT OR Apache-2.0
tendril	0.4.3	MIT/Apache-2.0
thiserror	1.0.69	MIT OR Apache-2.0
thiserror	2.0.18	MIT OR Apache-2.0
thiserror-impl	1.0.69	MIT OR Apache-2.0
thiserror-impl	2.0.18	MIT OR Apache-2.0
tiff	0.11.3	MIT
tiny-skia	0.12.0	BSD-3-Clause
tiny-skia-path	0.12.0	BSD-3-Clause
tinystr	0.8.3	Unicode-3.0
tinytemplate	1.2.1	Apache-2.0 OR MIT
tinyvec	1.11.0	Zlib OR Apache-2.0 OR MIT
tinyvec_macros	0.1.1	MIT OR Apache-2.0 OR Zlib
toml	0.9.12+spec-1.1.0	MIT OR Apache-2.0
toml	1.1.2+spec-1.1.0	MIT OR Apache-2.0
toml_datetime	0.7.5+spec-1.1.0	MIT OR Apache-2.0
toml_datetime	1.1.1+spec-1.1.0	MIT OR Apache-2.0
toml_parser	1.1.2+spec-1.1.0	MIT OR Apache-2.0
toml_writer	1.1.1+spec-1.1.0	MIT OR Apache-2.0
tree-sitter	0.26.9	MIT
tree-sitter-bash	0.25.1	MIT
tree-sitter-bicep	1.1.0	MIT
tree-sitter-c	0.24.2	MIT
tree-sitter-c-sharp	0.23.5	MIT
tree-sitter-cpp	0.23.4	MIT
tree-sitter-css	0.25.0	MIT
tree-sitter-dart	0.2.0	MIT
tree-sitter-diff	0.1.0	MIT
tree-sitter-fsharp	0.3.0	MIT
tree-sitter-gitcommit	0.0.1	MIT
tree-sitter-go	0.25.0	MIT
tree-sitter-gomod	1.1.1	MIT
tree-sitter-gowork	0.0.1	MIT
tree-sitter-html	0.23.2	MIT
tree-sitter-java	0.23.5	MIT
tree-sitter-javascript	0.25.0	MIT
tree-sitter-jsdoc	0.25.0	MIT
tree-sitter-json	0.24.8	MIT
tree-sitter-kotlin-sg	0.4.1	MIT
tree-sitter-language	0.1.7	MIT
tree-sitter-lua	0.5.0	MIT
tree-sitter-make	1.1.1	MIT
tree-sitter-md	0.3.2	MIT
tree-sitter-objc	3.0.2	MIT
tree-sitter-php	0.24.2	MIT
tree-sitter-powershell	0.26.4	MIT
tree-sitter-python	0.25.0	MIT
tree-sitter-r	1.2.0	MIT
tree-sitter-regex	0.25.0	MIT
tree-sitter-ruby	0.23.1	MIT
tree-sitter-rust	0.24.2	MIT
tree-sitter-scala	0.26.0	MIT
tree-sitter-sequel	0.3.11	MIT
tree-sitter-swift	0.7.3	MIT
tree-sitter-toml-ng	0.7.0	MIT
tree-sitter-typescript	0.23.2	MIT
tree-sitter-xml	0.7.0	MIT
tree-sitter-yaml	0.7.2	MIT
tree-sitter-zig	1.1.2	MIT
ttf-parser	0.25.1	MIT OR Apache-2.0
typeid	1.0.3	MIT OR Apache-2.0
typenum	1.20.0	MIT OR Apache-2.0
uluru	3.1.0	MPL-2.0
unarray	0.1.4	MIT OR Apache-2.0
unicase	2.9.0	MIT OR Apache-2.0
unicode-bidi	0.3.18	MIT OR Apache-2.0
unicode-bidi-mirroring	0.4.0	MIT/Apache-2.0
unicode-bom	2.0.3	Apache-2.0
unicode-ccc	0.4.0	MIT/Apache-2.0
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0
unicode-normalization	0.1.25	MIT OR Apache-2.0
unicode-properties	0.1.4	MIT/Apache-2.0
unicode-script	0.5.8	MIT OR Apache-2.0
unicode-segmentation	1.13.3	MIT OR Apache-2.0
unicode-vo	0.1.0	MIT/Apache-2.0
unicode-xid	0.2.6	MIT OR Apache-2.0
url	2.5.8	MIT OR Apache-2.0
usvg	0.47.0	Apache-2.0 OR MIT
utf-8	0.7.6	MIT OR Apache-2.0
utf8_iter	1.0.4	Apache-2.0 OR MIT
utf8parse	0.2.2	Apache-2.0 OR MIT
util-gpui-unofficial	1.2.7	Apache-2.0
uuid	1.23.3	Apache-2.0 OR MIT
v_frame	0.3.9	BSD-2-Clause
value-bag	1.12.0	Apache-2.0 OR MIT
value-bag-serde1	1.12.0	Apache-2.0 OR MIT
value-bag-sval2	1.12.0	Apache-2.0 OR MIT
vcpkg	0.2.15	MIT/Apache-2.0
version_check	0.9.5	MIT/Apache-2.0
vswhom	0.1.0	MIT
vswhom-sys	0.1.3	MIT
